date,title,link
2023-07-25,American Express Declares Dividend on Series D Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Declares-Dividend-on-Series-D-Preferred-Stock/default.aspx
2023-07-21,"American Express Reports Record Revenue of $15.1 Billion, up 12% From the Prior Year, With Card Member Spending Reaching a Quarterly High",/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Reports-Record-Revenue-of-15.1-Billion-up-12-From-the-Prior-Year-With-Card-Member-Spending-Reaching-a-Quarterly-High/default.aspx
2023-06-27,American Express Announces Retirement of Chief Financial Officer Jeffrey C. Campbell and Names Deputy Chief Financial Officer Christophe Le Caillec as Successor,/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Announces-Retirement-of-Chief-Financial-Officer-Jeffrey-C.-Campbell-and-Names-Deputy-Chief-Financial-Officer-Christophe-Le-Caillec-as-Successor/default.aspx
2023-06-22,American Express Plans Live Audio Webcast of Second Quarter 2023 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Plans-Live-Audio-Webcast-of-Second-Quarter-2023-Earnings-Conference-Call/default.aspx
2023-05-17,American Express Chairman and CEO Stephen J. Squeri to Participate in Bernstein 39th Annual Strategic Decisions Conference,/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Chairman-and-CEO-Stephen-J.-Squeri-to-Participate-in-Bernstein-39th-Annual-Strategic-Decisions-Conference/default.aspx
2023-05-03,American Express Declares Regular Quarterly Dividend And Dividend on Series D Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Declares-Regular-Quarterly-Dividend-And-Dividend-on-Series-D-Preferred-Stock/default.aspx
2023-05-01,"American Express Vice Chair Douglas E. Buckminster to Participate in SVB MoffettNathanson Technology, Media, and Telecom Conference",/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Vice-Chair-Douglas-E.-Buckminster-to-Participate-in-SVB-MoffettNathanson-Technology-Media-and-Telecom-Conference/default.aspx
2023-04-20,"American Express First-Quarter Revenue Increased 22% to Record $14.3 Billion, Driven Primarily by Strong Card Member Spending",/news/investor-relations-news/investor-relations-news-details/2023/American-Express-First-Quarter-Revenue-Increased-22-to-Record-14.3-Billion-Driven-Primarily-by-Strong-Card-Member-Spending/default.aspx
2023-03-22,American Express Plans Live Audio Webcast of First Quarter 2023 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Plans-Live-Audio-Webcast-of-First-Quarter-2023-Earnings-Conference-Call/default.aspx
2023-03-08,"American Express Board Authorizes Share Repurchase Plan, Announces 15 Percent Dividend Increase",/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Board-Authorizes-Share-Repurchase-Plan-Announces-15-Percent-Dividend-Increase/default.aspx
2023-02-06,American Express Chief Financial Officer to Participate in Upcoming Investor Conferences,/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Chief-Financial-Officer-to-Participate-in-Upcoming-Investor-Conferences/default.aspx
2023-01-27,American Express Delivers on 2022 Growth Plan With Full-Year Revenue Growth of 25% and Earnings Per Share of $9.85,/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Delivers-on-2022-Growth-Plan-With-Full-Year-Revenue-Growth-of-25-and-Earnings-Per-Share-of-9.85/default.aspx
2023-01-12,American Express to Acquire B2B Payments Automation Company Nipendo,/news/investor-relations-news/investor-relations-news-details/2023/American-Express-to-Acquire-B2B-Payments-Automation-Company-Nipendo/default.aspx
2023-01-03,American Express Plans Live Audio Webcast of Fourth Quarter 2022 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2023/American-Express-Plans-Live-Audio-Webcast-of-Fourth-Quarter-2022-Earnings-Conference-Call/default.aspx
2022-12-08,American Express Elects Deborah P. Majoras to its Board of Directors,/news/investor-relations-news/investor-relations-news-details/2022/American-Express-Elects-Deborah-P.-Majoras-to-its-Board-of-Directors/default.aspx
2022-12-07,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2022/American-Express-Declares-Regular-Quarterly-Dividend-bb7282ed9/default.aspx
2022-11-11,American Express CEO to Participate in Goldman Sachs U.S. Financial Services Conference,/news/investor-relations-news/investor-relations-news-details/2022/American-Express-CEO-to-Participate-in-Goldman-Sachs-U.S.-Financial-Services-Conference/default.aspx
2022-10-21,American Express Third-Quarter Revenue Increased 24% To $13.6 Billion,/news/investor-relations-news/investor-relations-news-details/2022/American-Express-Third-Quarter-Revenue-Increased-24-To-13.6-Billion/default.aspx
2022-10-06,American Express Elects Jay Clayton to Board of Directors,/news/investor-relations-news/investor-relations-news-details/2022/American-Express-Elects-Jay-Clayton-to-Board-of-Directors/default.aspx
2022-09-28,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2022/American-Express-Declares-Regular-Quarterly-Dividend/default.aspx
