date,title,link
2019-07-31,American Express Expands Suite of Global Business Payment Capabilities Through Acquisition of acompay,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Expands-Suite-of-Global-Business-Payment-Capabilities-Through-Acquisition-of-acompay/default.aspx
2019-07-24,American Express Declares Dividend on Series C Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Declares-Dividend-on-Series-C-Preferred-Stock1/default.aspx
2019-07-19,American Express Reports Second-Quarter Earnings Per Share Of $2.07,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Reports-Second-Quarter-Earnings-Per-Share-Of-2.07/default.aspx
2019-06-19,American Express Plans Live Audio Webcast of the Second Quarter 2019 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Plans-Live-Audio-Webcast-of-the-Second-Quarter-2019-Earnings-Conference-Call/default.aspx
2019-05-15,"American Express Chief Executive Officer to Participate in the MoffettNathanson Inaugural Payments, Processors, and IT Services Summit",/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Chief-Executive-Officer-to-Participate-in-the-MoffettNathanson-Inaugural-Payments-Processors-and-IT-Services-Summit/default.aspx
2019-05-15,"American Express Aims to Expand Digital Dining, Access & Experiences with Acquisition of Resy Reservation Platform",/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Aims-to-Expand-Digital-Dining-Access--Experiences-with-Acquisition-of-Resy-Reservation-Platform/default.aspx
2019-05-08,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Declares-Regular-Quarterly-Dividend19/default.aspx
2019-04-23,American Express Declares Dividend on Series B Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Declares-Dividend-on-Series-B-Preferred-Stock/default.aspx
2019-04-18,"American Express Reports First-Quarter Earnings Per Share of $1.80, Adjusted EPS of $2.01(1)",/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Reports-First-Quarter-Earnings-Per-Share-of-1.80-Adjusted-EPS-of-2.011/default.aspx
2019-03-27,American Express Updates Time for Live Audio Webcast of the First Quarter 2019 Earnings Conference Call and Announces Webcast for Annual Meeting of Shareholders,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Updates-Time-for-Live-Audio-Webcast-of-the-First-Quarter-2019-Earnings-Conference-Call-and-Announces-Webcast-for-Annual-Meeting-of-Shareholders/default.aspx
2019-03-19,American Express Plans Live Audio Webcast of the First Quarter 2019 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Plans-Live-Audio-Webcast-of-the-First-Quarter-2019-Earnings-Conference-Call/default.aspx
2019-03-11,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Declares-Regular-Quarterly-Dividend2019/default.aspx
2019-03-11,American Express To Acquire LoungeBuddy,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-To-Acquire-LoungeBuddy/default.aspx
2019-02-27,Organization Announcement: American Express,/news/investor-relations-news/investor-relations-news-details/2019/Organization-Announcement-American-Express1/default.aspx
2019-02-14,"American Express Chief Financial Officer to Participate in KBW Cards, Payments & Financial Technology Symposium",/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Chief-Financial-Officer-to-Participate-in-KBW-Cards-Payments--Financial-Technology-Symposium/default.aspx
2019-01-23,American Express Declares Dividend on Series C Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Declares-Dividend-on-Series-C-Preferred-Stock/default.aspx
2019-01-22,American Express Plans Live Audio Webcast of Annual Investor Day,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Plans-Live-Audio-Webcast-of-Annual-Investor-Day/default.aspx
2019-01-17,American Express Reports Fourth Quarter Earnings Per Share of $2.32 and Full Year EPS of $7.91,/news/investor-relations-news/investor-relations-news-details/2019/American-Express-Reports-Fourth-Quarter-Earnings-Per-Share-of-2.32-and-Full-Year-EPS-of-7.91/default.aspx
2018-12-19,American Express Plans Live Audio Webcast of the Fourth Quarter 2018 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Plans-Live-Audio-Webcast-of-the-Fourth-Quarter-2018-Earnings-Conference-Call/default.aspx
2018-11-27,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Declares-Regular-Quarterly-Dividend/default.aspx
2018-10-23,American Express Declares Dividend on Series B Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Declares-Dividend-on-Series-B-Preferred-Stock/default.aspx
2018-10-18,American Express Reports Third-Quarter EPS of $1.88,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Reports-Third-Quarter-EPS-of-1.88/default.aspx
2018-10-09,Organization Announcement: American Express,/news/investor-relations-news/investor-relations-news-details/2018/Organization-Announcement-American-Express/default.aspx
2018-10-09,American Express Chief Financial Officer to Participate in the Bank of America Future of Financials Conference,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Chief-Financial-Officer-to-Participate-in-the-Bank-of-America-Future-of-Financials-Conference/default.aspx
2018-09-25,American Express Board Authorizes 11 Percent Dividend Increase,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Board-Authorizes-11-Percent-Dividend-Increase/default.aspx
2018-09-20,American Express Plans Live Audio Webcast of the Third Quarter 2018 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Plans-Live-Audio-Webcast-of-the-Third-Quarter-2018-Earnings-Conference-Call/default.aspx
2018-09-05,American Express Executives to Participate in Upcoming Conferences,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Executives-to-Participate-in-Upcoming-Conferences/default.aspx
2018-07-23,American Express Declares Dividend on Series C Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Declares-Dividend-on-Series-C-Preferred-Stock/default.aspx
2018-07-18,American Express Reports Second-Quarter EPS of $1.84,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Reports-Second-Quarter-EPS-of-1.84/default.aspx
2018-06-28,American Express Plans to Increase Quarterly Dividend by 11 Percent and Buy Back up to $3.4 Billion of Common Shares Through Q2 2019,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Plans-to-Increase-Quarterly-Dividend-by-11-Percent-and-Buy-Back-up-to-3.4-Billion-of-Common-Shares-Through-Q2-2019/default.aspx
2018-06-20,American Express Plans Live Audio Webcast of the Second Quarter 2018 Earnings Conference Call,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Plans-Live-Audio-Webcast-of-the-Second-Quarter-2018-Earnings-Conference-Call/default.aspx
2018-05-08,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2018/American-Express--Declares-Regular-Quarterly-Dividend/default.aspx
2018-04-24,American Express Declares Dividend on Series B Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Declares-Dividend-on-Series-B--Preferred-Stock/default.aspx
2018-04-18,American Express Reports First-Quarter EPS of $1.86,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Reports-First-Quarter-EPS-of-1.86/default.aspx
2018-03-21,Organization Announcement – Commercial Services,/news/investor-relations-news/investor-relations-news-details/2018/Organization-Announcement--Commercial-Services/default.aspx
2018-03-13,American Express Declares Regular Quarterly Dividend,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Declares--Regular-Quarterly-Dividend/default.aspx
2018-02-08,"American Express Chief Financial Officer to Participate in KBW Cards, Payments & Financial Technology Symposium",/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Chief-Financial-Officer-to-Participate-in-KBW-Cards-Payments--Financial-Technology-Symposium/default.aspx
2018-01-23,American Express Declares Dividend on Series C Preferred Stock,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Declares-Dividend-on-Series-C--Preferred-Stock/default.aspx
2018-01-18,American Express Reports Quarterly Revenues Up 10 Percent with Record Card Member Spending,/news/investor-relations-news/investor-relations-news-details/2018/American-Express-Reports-Quarterly-Revenues-Up-10-Percent-with-Record-Card-Member-Spending/default.aspx
