date,title,document
"May 13, 2024",American Express 2024 Sustainability Financing Report,https://s26.q4cdn.com/747928648/files/doc_downloads/ESG/2024/American-Express-2024-Sustainability-Financing-Report.pdf
"May 12, 2023",American Express 2023 Sustainability Financing Report,https://s26.q4cdn.com/747928648/files/doc_downloads/ESG/American-Express-2023-Sustainability-Financing-Report.pdf
"Apr 26, 2022",American Express Sustainability Financing Framework (April 2022),https://s26.q4cdn.com/747928648/files/doc_downloads/ESG/American-Express-Sustainability-Financing-Framework.pdf
"Apr 26, 2022",Second Party Opinion - Moody's ESG Solutions,https://esg.moodys.io/spo/american-express-sustainable-financing-framework
"Apr 25, 2022",American Express Environmental Social and Governance Reports,https://about.americanexpress.com/corporate-responsibility/reports/corporate-responsibility-reports/default.aspx
