date,type,description,company,document
2024-07-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000049/
2024-06-17,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000046/
2024-05-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000044/
2024-05-08,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000038/
2024-04-25,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000033/
2024-04-19,10-Q,Quarterly Report - Q1 2024,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000031/
2024-04-19,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000029/
2024-04-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000023/
2024-03-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000019/
2024-03-07,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000017/
2024-02-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000016/
2024-02-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000015/
2024-02-09,10-K,Annual Report for FY 2023,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000013/
2024-01-26,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000008/
2024-01-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000002/
2024-01-16,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496224000004/
2023-12-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000043/
2023-11-15,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000040/
2023-10-30,8-K,Current Report,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000039/
2023-10-20,10-Q,Quarterly Report - Q3 2023,American Express Company,https://www.sec.gov/Archives/edgar/data/4962/000000496223000038/
